slug	direct	with_descendants	parent	alias_of	description
pwdeck-tutor	36	36	tutors-by-name		Cards from Planeswalker Decks that tutor for the corresponding planeswalker.
ransom	36	36			Cards that remove permanents unless a cost is paid.
removes-flying	36	36	hate-flying		
rescue-nonland	36	36	rescue-enchantment		
spite-damage	36	36	enrage		When you deal me damage, I deal you damage right back.
synergy-gate	33	36			
tutor-enchantment	15	36	tutor		Cards that tutor enchantment cards.
typal-mount	36	36	typal-creature		
typal-villain	36	36			
unpreventable-damage	36	36			Damage can't be prevented, whether universally or for specific sources.
vanilla-equipment	36	36			Equipment that only changes power and toughness.
whirlpool	36	36	wheel		Wheeling to the library.
5c-set-mechanic-commander	35	35	staple-with-set-s-mechanic		A five-color identity commander designed to support one or more themes and/or mechanics in a set.
breaks-ktk-morph-rule	35	35			Cards with morph (or a similar ability) which break the Khans of Tarkir block development rule which stated that a morphed creature cannot be turned face-up for less than five mana if doing so would allow it to win combat against a face-down morphed creature.
copy-land	17	35	copy		
cycle-triland	0	35	triland		Triland cycles. See also [triland](/tags/card/triland/) for non-cycle trilands.
high-flying	35	35	evasion		Flying creatures that can only block other flying creatures. See also [gives high flying](gives-high-flying).
hurricane	35	35	hate-flying		Spells that deal damage to creatures with flying. See [earthquake](earthquake) for the inverse effect.
landhome	35	35	drawback		An old two-part mechanic: you had to control a land of a certain type to keep this creature on the battlefield, and the opponent needed to control a land of the same type to be attacked by it. It often got used in just one of the halves, so we tag either half.
old-blocking-deathtouch	35	35	deprecated-mechanics		Before the keyword was made evergreen in Magic 2010, deathtouch was sometimes a triggered ability based on blocking. See also [old damage deathtouch](old-damage-deathtouch).
revolt	35	35			Effects that care if a permanent (or creature, etc) you controlled left the battlefield this turn.
seek-nonland	35	35	seek		Seek for nonland cards.
synergy-battle	35	35			
theft-permanent	35	35	theft		
tormenting-voice	35	35	rummage		A family of two-card rummage spells.
typal-giant	34	35	typal-creature		
voting	35	35			
combat-ping	34	34			Cards that deal a small amount of damage during the combat step.
copy-planeswalker	16	34	copy		
counterspell-noncreature	34	34	counterspell		Counterspells that call out noncreatures specifically.
delayed-replacement-effect	34	34			
fling	34	34	sacrifice-outlet-creature		Sacrifice a creature to deal its power in damage to something. See also [bombard](/tags/card/bombard), [one-sided fight](/tags/card/one-sided-fight), [fling-self](fling-self).
hate-activation	28	34	hate		
hate-token	34	34	hate		
hungry-demon	34	34	drawback		Cards that make you sacrifice a creature, either automatically or with a downside if you can't or won't.
inspired	34	34			Cards that care about the action of untapping a permanent. For cards that care about untapped permanents, see [synergy-untapped](synergy-untapped) and [untapped matters-self](untapped-matters-self).
life-and-death-trigger-self	34	34	death-trigger-self		Permanents that have an effect that triggers when they enter the battlefield and when they die. See also [enters-and-leaves triggers](enters-and-leaves-trigger-self).
opponent-discard-matters	34	34	discard-matters		Cards that reward you for making opponents discard cards from their hand. See also [hate empty hand](hate-empty-hand) for cards that throw a party in the aftermath.
prevents-win-loss	15	34			
reanimate-enchantment	34	34	recursion-enchantment		
sneak-permanent	34	34	sneak		
sth-storyline-in-cards	34	34			
synergy-clue	34	34			
token-increaser	15	34			Cards that increase the amount of tokens you make, either by increasing the amount of tokens that are to be made or adding additional tokens .
tutor-land-mountain	34	34	tutor-land		Cards that tutor Mountain cards.
tutor-to-graveyard	34	34	tutor-to		Tutor cards into your graveyard.
buff-mana	33	33			Mana that comes with additional benefits when spent.
gives-uncounterable	33	33	hate-counterspell		
hate-removal-sacrifice	33	33	hate		Punish your opponent for trying to make you sacrifice your creatures. As a rule of thumb, to count, it should still work even if they make you sac your whole battlefield. See also [prevent sacrifice](prevent-sacrifice).
helper-card	0	33			Cards printed to assist you with using mechanics.
magecraft	33	33	cast-trigger-you		
protects-enchantment	33	33	protection		
tutor-land-basic-plains	33	33	tutor-land-basic		Cards that tutor basic Plains land cards.
typal-faerie	33	33	typal-creature		
typal-mercenary	14	33	typal-creature		
untapped-matters-self	33	33			Permanents that care about being untapped. For cards that care about other untapped permanents, see [synergy-untapped](synergy-untapped). For cards that carea about the action of untapping, see [inspired](inspired).
wingman	33	33	gives-flying		Creatures with flying that give other creatures flying until end of turn when they attack.
bribery	32	32	group-hug		Give an opponent something in exchange for a benefit to you.
illusion-ability	32	32	drawback		Permanents that sacrifice themselves if they get targeted by anything
mana-cost-matters	9	32			Cards that care about the actual symbols in a mana cost.
mirrored-knight	32	32			Magic has a history of having pairs of knights oppose each other.
off-turn-casting-matters	32	32			
seek-creature	22	32	seek		Seek a creature card.
shares-name-with-a-set	32	32	card-names		
unique-enchant-target	32	32			
vivid	32	32	synergy-color-each		Cards that care about the number of colors among permanents you control.
wind-drake-with-set-s-mechanic	32	32	staple-with-set-s-mechanic		A 2/2 flyer for 3 with one of the set's iconic mechanics.
counterspell-sacrifice	31	31	counterspell		Counterspell abilities that require sacrifice as a cost.
cr-107-3f-x-card	31	31			107.3f - Sometimes X appears in the text of a spell or ability but not in a mana cost, alternative cost, additional cost, or activation cost. If the value of X isn’t defined, the controller of the spell or ability chooses the value of X at the appropriate time.
creates-oracle-token	31	31	creates-token-of-a-card		These cards create a token version of an Oracle card by name (CR 111.11)
hate-damaged	31	31	hate		Cards that do stuff to things that have already received damage.
life-divider-opponent	19	31	life-divider		
mana-dork-egg	31	31	martyr		Creatures that can be sacrificed to add mana.
secretly-choose	31	31			
synergy-desert	31	31			
synergy-trample	31	31			
tapped-matters-self	31	31			Permanents that care about being tapped. For cards that care about other tapped permanents, see [synergy-tapped](synergy-tapped). For cards that care about the action of tapping, see [uninspired](uninspired).
times-resolved-matters	31	31			Effects that check how many times they've resolved and do something different based on the result.
tutor-land-swamp	31	31	tutor-land		Cards that tutor Swamp cards.
alternate-equip-cost	30	30			
counterspell-instant	30	30	counterspell		Counterspells that call out instants specifically.
damage-increaser	30	30			Things deal +N damage. See also [damage multiplier](/tags/card/damage-multiplier).
delve	30	30	graveyard-fuel		Exile cards from your graveyard to reduce the cost
graveyard-fuel-artifact	28	30	graveyard-fuel		
landfall-other	30	30	landfall		Effects that trigger when lands enter the battlefield under an opponent's control.
lure	30	30	green-effect		All creatures able to block this creature must do so. See also [lure-limited](lure-limited) and [provoke lite](provoke-lite).
perpetual-aura	9	30			Auras that come back to your hand as they "fall off".
playtest-forecast	30	30			These playtest cards previewed mechanics seen within 2-3 years of release, meaning they were being worked on at the time!
sneaky-self-trigger	30	30			Cards that are worded in a way that makes it easy to miss that they trigger one of their own abilities.
synergy-deathtouch	30	30			
tunneling	29	30	synergy-low-power		Creatures with power 2 or less (sometimes 3) can't be blocked. An evasion pattern found mainly in red.
typal-demon	30	30	typal-creature		
typal-ninja	19	30	typal-creature		
typal-samurai	12	30	typal-creature		
typal-spider	30	30	typal-creature		
typal-squirrel	30	30	typal-creature		
copy-equipment	29	29	copy		
cost-reducer-artifact	20	29	synergy-artifact		
discard-symmetrical	29	29	symmetrical		Force each player to discard cards without drawing back up. See also [wheel-symmetrical](wheel-symmetrical).
gives-fear	29	29	gives-evasion		
hunger-trigger	10	29	death-trigger		Abilities that trigger off other creatures dying to this one. Named after the more-specific Hunger ability.
kismet-effect	29	29			Cards that make certain types of permanents enter the battlefield tapped.
lands-in-graveyard-matter	29	29	cards-in-graveyard-matter		
synergy-face-down	29	29	face-up-face-down-effects		Cards that have synergy with the various face down mechanics in the game, such as manifest, morph, cloak, etc.
